0,1,2,3
0,-0.009776089565254208,0.005041378849723886,0.010999428525806036,Second Quadrant
1,-0.021503437705715035,0.0017648572708491585,0.021575739949073268,Second Quadrant
2,0.005097676739679591,0.024644560764480967,0.025166260815156175,First Quadrant
3,-0.016745184745141733,-0.02145710538705521,0.027217799024537623,Third Quadrant
4,0.056963777276308074,-0.023094793200120565,0.061467401071959825,Fourth Quadrant
5,-0.001396657493990296,-0.0034452665705728123,0.003717595176700363,Third Quadrant
6,0.02007049680176131,0.01064299188924583,0.022717792987525517,First Quadrant
7,0.013415956990593158,-0.011929706406314612,0.01795287712079346,Fourth Quadrant
8,0.04918633876497425,0.010669684145644712,0.05033028989456181,First Quadrant
9,-0.050628176611525355,0.006279263050980559,0.051016089731291764,Second Quadrant
10,0.03741189163521171,-0.0017282384113370692,0.03745178825812254,Fourth Quadrant
11,0.03181671357170898,0.04709097751541085,0.056831887403649556,First Quadrant
12,0.0013526394314047575,-0.017950065865696113,0.01800095825266588,Fourth Quadrant
13,-0.00017887854456341478,-0.014279783466955562,0.014280903801820196,Third Quadrant
14,0.02002166126505277,-0.01799807737981452,0.026922067327423162,Fourth Quadrant
15,-0.012235833588595571,0.0012228817811420906,0.012296790778835462,Second Quadrant
16,-0.011212239319761647,-0.04291092290469097,0.04435156834990101,Third Quadrant
17,0.013992836345135963,-0.038276909201746485,0.040754401566217395,Fourth Quadrant
18,-0.010737416933209782,-0.028483670217870783,0.030440295522185707,Third Quadrant
19,-0.01635793031411327,0.04572920363831049,0.04856688120062328,Second Quadrant
20,0.0016770512475470247,0.009009807073843454,0.009164558057799544,First Quadrant
21,-0.007172974873023086,0.022037387673091054,0.023175375379551593,Second Quadrant
22,-0.013492058174913663,-0.028776010763592107,0.03178198277737913,Third Quadrant
23,-0.009559966417571918,0.018796602267157427,0.021088034870390616,Second Quadrant
24,-0.00858263442326595,0.006824885098008251,0.010965430691242582,Second Quadrant
25,0.021846173097045046,0.011788858604518799,0.0248240300149551,First Quadrant
26,0.027455313266472443,-0.01743176371129005,0.03252169449223682,Fourth Quadrant
27,0.024731228381467938,-0.0597835448223461,0.06469703152990708,Fourth Quadrant
28,0.04275894874998842,-0.012222010029795942,0.04447139785719096,Fourth Quadrant
29,0.0022246208009479317,0.02992810615120108,0.03001067269331979,First Quadrant
30,0.01386523515265906,0.008407065913218416,0.01621491606847632,First Quadrant
31,-0.00981682087923694,0.005108580012532946,0.011066506310461015,Second Quadrant
32,-0.01946810949106049,0.0139363583789304,0.023942209004640804,Second Quadrant
